Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
10,11.60808,0.994113,0.921325
20,11.60808,0.994113,0.921325
30,10.35245,0.994777,0.943399
40,9.47178,0.993932,0.953353
50,9.04790,0.993358,0.957042
60,8.70830,0.99363,0.958546
70,8.40072,0.993539,0.959745
80,8.24794,0.993117,0.959787
90,7.93692,0.993781,0.959167
100,7.37079,0.994264,0.955163
110,6.35599,0.993238,0.947632
120,5.47292,0.992121,0.94175
130,4.61205,0.987139,0.934237
140,4.08083,0.984452,0.932656
150,3.65008,0.984966,0.932741
160,3.46696,0.98249,0.931432
170,3.32684,0.983969,0.932741
180,3.20490,0.983516,0.93246
190,3.08231,0.98249,0.931432
200,2.98417,0.981464,0.931389
210,2.89977,0.980648,0.93133
220,2.81241,0.980528,0.931313
230,2.74512,0.980316,0.930505
240,2.68228,0.979954,0.930327
250,2.64311,0.979682,0.930089